predefinedLabel|word|text|source
finance|escalating|The 1,140 economists, including 14 Nobel prize winners, sent the letter on Thursday amid an escalating row over trade between the US and the European Union. Trump has imposed tariffs on steel and aluminium imports but has granted temporary reprieves to the EU, Australia and other countries.|https://www.theguardian.com/us-news/2018/may/03/donald-trump-trade-economists-warning-great-depression
finance|surpassed|California’s economy has surpassed that of the United Kingdom to become the world’s fifth largest, according to new federal data made public on Friday.|https://www.theguardian.com/us-news/2018/may/04/california-economy-uk-fifth-largest
finance|despite|Despite having a population of only 40 million compared with the UK’s 65 million people, California’s gross domestic product of $2.7tn has overtaken the UK’s $2.6tn.|https://www.theguardian.com/us-news/2018/may/04/california-economy-uk-fifth-largest
finance|thriving|The release of Friday’s data demonstrated the sheer immensity of California’s economy, home to a thriving technology sector in Silicon Valley, the world’s entertainment capital in Hollywood and America’s “salad bowl” in its agricultural heartland.|https://www.theguardian.com/us-news/2018/may/04/california-economy-uk-fifth-largest
finance|amid|Hotels and restaurants worst hit amid weaker recovery from cold snap than forecast|https://www.theguardian.com/business/2018/may/03/prospect-of-uk-interest-rate-rise-dims-as-uk-service-sector-struggles
finance|likelihood|Britain’s services sector struggled to bounce back in April from the big freeze in March that brought the economy to a grinding halt, increasing the likelihood of the Bank of England holding interest rates at 0.5% next week.|https://www.theguardian.com/business/2018/may/03/prospect-of-uk-interest-rate-rise-dims-as-uk-service-sector-struggles
machine-learning|explicitly|Machine learning is a field of computer science that uses statistical techniques to give computer systems the ability to "learn" (e.g., progressively improve performance on a specific task) with data, without being explicitly programmed|https://en.wikipedia.org/wiki/Machine_learning
machine-learning|recognition|Evolved from the study of pattern recognition and computational learning theory in artificial intelligence,[3] machine learning explores the study and construction of algorithms that can learn from and make predictions on data[4] – such algorithms overcome following strictly static program instructions by making data-driven predictions or decisions|https://en.wikipedia.org/wiki/Machine_learning
machine-learning|overlaps|Machine learning is closely related to (and often overlaps with) computational statistics, which also focuses on prediction-making through the use of computers.|https://en.wikipedia.org/wiki/Machine_learning
machine-learning|artificial|The big picture of artificial intelligence and machine learning — past, present, and future.|https://medium.com/machine-learning-for-humans/why-machine-learning-matters-6164faf1df12
machine-learning|overfitting|Learning with an answer key. Introducing linear regression, loss functions, overfitting, and gradient descent.|https://medium.com/machine-learning-for-humans/why-machine-learning-matters-6164faf1df12
machine-learning|ensemble|Non-parametric learners: k-nearest neighbors, decision trees, random forests. Introducing cross-validation, hyperparameter tuning, and ensemble models.|https://medium.com/machine-learning-for-humans/why-machine-learning-matters-6164faf1df12
machine-learning|buzzwords|Artificial Intelligence (AI) and Machine Learning (ML) are two very hot buzzwords right now, and often seem to be used interchangeably.|https://www.forbes.com/sites/bernardmarr/2016/12/06/what-is-the-difference-between-artificial-intelligence-and-machine-learning/#1013233b2742
machine-learning|frequently|Both terms crop up very frequently when the topic is Big Data, analytics, and the broader waves of technological change which are sweeping through our world.|https://www.forbes.com/sites/bernardmarr/2016/12/06/what-is-the-difference-between-artificial-intelligence-and-machine-learning/#1013233b2742
machine-learning|analytical|Machine learning is a method of data analysis that automates analytical model building.|https://www.sas.com/en_id/insights/analytics/machine-learning.html
machine-learning|computing|Because of new computing technologies, machine learning today is not like machine learning of the past.|https://www.sas.com/en_id/insights/analytics/machine-learning.html
christianity|encaustic|The oldest known icon of Christ Pantocrator, encaustic on panel, Saint Catherine's Monastery, Sinai Peninsula The Eastern Orthodox Church,[1] also known as the Orthodox Church,[2] or officially as the Orthodox Catholic Church,[3] is the second-largest Christian Church, with over 250 million members.|https://en.wikipedia.org/wiki/Eastern_Orthodox_Church
christianity|prominent|As one of the oldest religious institutions in the world, it has played a prominent role in the history and culture of Eastern Europe, Greece (including Anatolia), the Caucasus, and the Near East.|https://en.wikipedia.org/wiki/Eastern_Orthodox_Church
christianity|governed|A communion of autocephalous churches (″jurisdictions″, or national churches), each typically governed by its own group of Bishops called a Holy Synod.|https://en.wikipedia.org/wiki/Eastern_Orthodox_Church
christianity|occurred|The first known use of the phrase "the catholic church" (he katholike ekklesia) occurred in a letter written about 110 AD from one Greek church to another (Saint Ignatius of Antioch to the Smyrnaeans) |https://en.wikipedia.org/wiki/Eastern_Orthodox_Church
christianity|wheresoever|The letter states: "Wheresoever the bishop shall appear, there let the people be, even as where Jesus may be, there is the universal [katholike] Church."|https://en.wikipedia.org/wiki/Eastern_Orthodox_Church
christianity|bearing|To all these churches, the claim to catholicity (universality, oneness with the ancient church) is important for multiple doctrinal reasons that have more bearing internally in each church than in their relation to the others, now separated in faith.|https://en.wikipedia.org/wiki/Eastern_Orthodox_Church
christianity|significance|The meaning of holding to a faith that is true is the primary reason why anyone's statement of which church split off from which other has any significance at all; the issues go as deep as the schisms.|https://en.wikipedia.org/wiki/Eastern_Orthodox_Church
christianity|descent|The Orthodox Church is the one Church founded by Jesus Christ and his apostles, begun at the day of Pentecost with the descent of the Holy Spirit in the year 33 A.D.|https://orthodoxwiki.org/Orthodox_Church
christianity|controversy|After an early controversy on the subject, the Icons, of Christ, the Virgin Mary, and the saints are now seen as visible witnesses to the fact that God has taken human flesh in the person of the Lord Jesus Christ.|https://orthodoxwiki.org/Orthodox_Church
christianity|doctrine|The Christian doctrine of the Trinity (Latin: Trinitas, lit. 'triad', from Latin: trinus "threefold") [2] holds that God is three consubstantial persons[3] or hypostases[4]—the Father, the Son (Jesus Christ), and the Holy Spirit—as "one God in three Divine Persons".|https://en.wikipedia.org/wiki/Trinity
christianity|entire|According to this central mystery of most Christian faiths, there is only one God in three Persons: while distinct from one another in their relations of origin (as the Fourth Council of the Lateran declared, "it is the Father who generates, the Son who is begotten, and the Holy Spirit who proceeds")[9] and in their relations with one another, they are stated to be one in all else, co-equal, co-eternal and consubstantial, and each is God, whole and entire.|https://en.wikipedia.org/wiki/Trinity
